"","X","bigram","bigram_d_freq","bigram_r_freq","bigram_total","chisq()"
"333809",333809,"right movement",211,34,245,1.09030204001507e-05
"242100",242100,"individu mandat",88,315,403,1.09017317183237e-05
"168720",168720,"execut branch",211,515,726,1.08523422191795e-05
"123132",123132,"day presid",45,233,278,1.08401080863787e-05
"65242",65242,"california ms",172,17,189,1.08386249880764e-05
"258107",258107,"keyston xl",197,493,690,1.08255822816522e-05
"131278",131278,"democrat friend",4,138,142,1.07819936572934e-05
"26732",26732,"american women",196,28,224,1.07433383740845e-05
"265601",265601,"legal statu",74,287,361,1.07153285887824e-05
"128115",128115,"deem expir",193,27,220,1.06797884260977e-05
"355994",355994,"strong opposit",210,35,245,1.06580165263691e-05
"341854",341854,"senat mikulski",273,67,340,1.06417081764991e-05
"79040",79040,"children could",31,201,232,1.06213000680961e-05
"231960",231960,"hunger america",133,3,136,1.05956177574552e-05
"63699",63699,"busi come",217,39,256,1.05527389173742e-05
"9657",9657,"adjourn previou",186,25,211,1.04746483155707e-05
"171250",171250,"expir journal",190,27,217,1.04396265236341e-05
"229073",229073,"hour deem",190,27,217,1.04396265236341e-05
"389669",389669,"xl pipelin",158,425,583,1.04251614800354e-05
"334240",334240,"rise today",3829,2921,6750,1.03970735567831e-05
"287392",287392,"move forward",1511,962,2473,1.03857857589832e-05
"151613",151613,"effort put",32,200,232,1.03728572014514e-05
"309876",309876,"pledg morn",189,27,216,1.03596689194986e-05
"52629",52629,"big govern",11,151,162,1.0316126393484e-05
"257581",257581,"keep health",27,188,215,1.02797606185578e-05
"341949",341949,"senat period",188,27,215,1.02797606185578e-05
"60720",60720,"broken promis",12,153,165,1.02737630585843e-05
"200235",200235,"gender ident",126,2,128,1.0242660447217e-05
"3676",3676,"account work",145,9,154,1.02407928741243e-05
"83712",83712,"clean continu",142,8,150,1.02069331067868e-05
"61491",61491,"budget confer",187,27,214,1.01999023125896e-05
"106009",106009,"continu resolut",944,525,1469,1.01867728357477e-05
"148265",148265,"econom develop",524,225,749,1.01758556406875e-05
"189477",189477,"food stamp",716,358,1074,1.01726953240417e-05
"380336",380336,"war coal",9,144,153,1.01567018457672e-05
"282091",282091,"medic research",279,74,353,1.01504990276773e-05
"64623",64623,"buy gun",133,5,138,1.01232302987264e-05
"141814",141814,"district texa",14,156,170,1.01135232281427e-05
"283553",283553,"mental health",595,274,869,1.01085143737816e-05
"344934",344934,"sexual assault",954,534,1488,1.01047112919347e-05
"142037",142037,"divid control",211,39,250,1.00898034433877e-05
"201361",201361,"gentleman pennsylvania",49,231,280,1.0086656526623e-05
"363839",363839,"therein minut",192,30,222,1.00796623961586e-05
"385455",385455,"women famili",183,26,209,1.00559567003781e-05
"270588",270588,"littl guy",19,167,186,1.0041149144501e-05
"341937",341937,"senat pass",514,220,734,1.00394667543368e-05
"157333",157333,"energi product",68,266,334,1.00078411158967e-05
"314244",314244,"prevent servic",157,15,172,9.99591900658276e-06
"101899",101899,"consent mandatori",134,6,140,9.97860761766391e-06
"350424",350424,"speaker presid",19,166,185,9.95946439770281e-06
"53202",53202,"bill consider",28,186,214,9.94649848951122e-06
"339287",339287,"second read",156,15,171,9.9132649283474e-06
"350012",350012,"speak therein",192,31,223,9.91095968520392e-06
"28095",28095,"announc committe",119,1,120,9.89379784525051e-06
"46737",46737,"bay area",172,22,194,9.88901033222083e-06
"313347",313347,"presid follow",176,24,200,9.84982594245866e-06
"277633",277633,"mandatori quorum",140,9,149,9.82049468357095e-06
"205107",205107,"go colleg",276,75,351,9.81385411461386e-06
"296998",296998,"offic nation",41,211,252,9.77828971531594e-06
"378948",378948,"vote motion",286,81,367,9.76325156283291e-06
"367117",367117,"time two",242,57,299,9.75961408860439e-06
"383534",383534,"western new",144,11,155,9.73078684027641e-06
"303812",303812,"pass comprehens",163,19,182,9.71464582708461e-06
"292660",292660,"new tax",47,222,269,9.7070558248935e-06
"269065",269065,"like health",15,153,168,9.66548880511432e-06
"378697",378697,"vote clean",130,6,136,9.64013128039237e-06
"378441",378441,"vladimir putin",37,201,238,9.63558070000328e-06
"87823",87823,"colleg afford",145,12,157,9.60682285708107e-06
"248940",248940,"intern revenu",77,276,353,9.56501872683047e-06
"224338",224338,"hispan heritag",161,19,180,9.55163639180623e-06
"307585",307585,"permiss revis",172,24,196,9.52882124023492e-06
